Question,Correct Answer,Answer Given
"What should you do if the load is too heavy to lift alone","option2","option2","handling_questions","Correct"
"What is an example of a fire hazard in a workplace?","option2","option4","perception_questions","Wrong"
"When lifting, how should the load be positioned","option2","option3","handling_questions","Wrong"
"Why is it unsafe to download files from untrusted sources, even if the website looks legitimate?","option1","option3","cyber_questions","Wrong"
"What is the potential risk of sharing your work login credentials with a colleague for convenience?","option2","option2","cyber_questions","Correct"
"Which of the following can increase the risk of accidents in the workplace?","option2","option2","perception_questions","Correct"
"What is the main risk of having poor housekeeping in the workplace?","option2","option3","perception_questions","Wrong"
"What is the best way to identify potential hazards in your workplace?","option2","option3","perception_questions","Wrong"
"What is one of the most important considerations when lifting a heavy object","option3","option2","handling_questions","Wrong"
"Which of the following is a hazard when working at height?","option2","option2","height_questions","Correct"
"What is the purpose of guardrails when working at height?","option4","option2","height_questions","Wrong"
"What is the danger of not wearing Personal Protective Equipment (PPE)?","option2","option2","unsafe_acts_questions","Correct"
"Why is it important to check your surroundings before operating machinery?","option2","option2","perception_questions","Correct"
"What is the consequence of working without proper lighting?","option4","option3","unsafe_acts_questions","Wrong"
"How can Personal Protective Equipment (PPE) help reduce workplace hazards?","option2","option3","perception_questions","Wrong"
"What is a Key Safety Feature of a ladder when working at height?","option1","option3","height_questions","Wrong"
"What is the risk of falling from any height","option2","option3","height_questions","Wrong"
"What is a sign that a lifting technique may be unsafe","option3","option3","handling_questions","Correct"
"Why should you be cautious about clicking on pop-up ads, even if they appear on legitimate websites?","option1","option4","cyber_questions","Wrong"
"Which of the following should be avoided when working at height?","option1","option4","height_questions","Wrong"
"Why is using a mobile phone while walking through the office considered unsafe?","option2","option4","unsafe_acts_questions","Wrong"
"When using a ladder, what is the safest practice?","option2","option4","height_questions","Wrong"
"What is the minimum requirement for fall protection when working at height above 6 feet?","option2","option4","height_questions","Wrong"
"Which of the following is true regarding lifting heavy loads","option2","option4","handling_questions","Wrong"
"What should you do if you receive a suspicious email asking for sensitive information?","option4","option4","cyber_questions","Correct"
"How can poor ergonomics affect your health in the workplace?","option2","option4","perception_questions","Wrong"
"What is the risk of taking shortcuts at work?","option2","option4","perception_questions","Wrong"
"What should you do before lifting a heavy load","option1","option4","handling_questions","Wrong"
"What is the risk of using weak or easily guessable passwords?","option1","option4","cyber_questions","Wrong"
"Why is it unsafe to ignore safety protocols?","option2","option4","unsafe_acts_questions","Wrong"
"When using a ladder, what is the safest practice?","option2","option3","height_questions","Wrong"
"What is an example of a fire hazard in a workplace?","option2","option4","perception_questions","Wrong"
"What is the risk of falling from any height","option2","option4","height_questions","Wrong"
"Why is it unsafe to ignore safety protocols?","option2","option2","unsafe_acts_questions","Correct"
"What is the minimum requirement for fall protection when working at height above 6 feet?","option2","option3","height_questions","Wrong"
"Why is it unsafe to block fire exits with office furniture or equipment?","option2","option3","unsafe_acts_questions","Wrong"
"Why is it unsafe to connect to public Wi-Fi networks?","option2","option2","cyber_questions","Correct"
"Why is using a mobile phone while walking through the office considered unsafe?","option2","option2","unsafe_acts_questions","Correct"
"Which of the following is true regarding lifting heavy loads","option2","option3","handling_questions","Wrong"
"What is the main risk of having poor housekeeping in the workplace?","option2","option3","perception_questions","Wrong"
"What is the danger of not wearing Personal Protective Equipment (PPE)?","option2","option3","unsafe_acts_questions","Wrong"
"What should you do if you suspect your work computer has been infected with malware?","option1","option2","cyber_questions","Wrong"
"What is the purpose of guardrails when working at height?","option4","option2","height_questions","Wrong"
"What should you do if you observe a safety hazard that could harm others?","option2","option3","perception_questions","Wrong"
"Which of the following can help reduce the risk of injury when lifting heavy items","option2","option2","handling_questions","Correct"
"Why should you be cautious about clicking on pop-up ads, even if they appear on legitimate websites?","option1","option2","cyber_questions","Wrong"
"Why should you be cautious about what you post on social media, especially regarding your workplace?","option2","option3","cyber_questions","Wrong"
"Which of the following can increase the risk of accidents in the workplace?","option2","option2","perception_questions","Correct"
"Why is it important to check your surroundings before operating machinery?","option2","option3","perception_questions","Wrong"
"What is a Key Benefit of using a lifting aid like a trolley","option1","option2","handling_questions","Wrong"
"When lifting, how should the load be positioned","option2","option2","handling_questions","Correct"
"How can poor ergonomics affect your health in the workplace?","option2","option1","perception_questions","Wrong"
"What is the risk of ignoring designated smoking areas?","option1","option2","unsafe_acts_questions","Wrong"
"How can Personal Protective Equipment (PPE) help reduce workplace hazards?","option2","option2","perception_questions","Correct"
"What should you always do before using scaffolding?","option1","option1","height_questions","Correct"
"What should you do if you receive a suspicious email asking for sensitive information?","option4","option3","cyber_questions","Wrong"
"What is the risk of taking shortcuts at work?","option2","option3","perception_questions","Wrong"
"What is the risk of taking shortcuts in a dangerous task?","option2","option4","unsafe_acts_questions","Wrong"
"Which of the following should be avoided when working at height?","option1","option4","height_questions","Wrong"
"Why is it unsafe to download files from untrusted sources, even if the website looks legitimate?","option1","option4","cyber_questions","Wrong"
