Question,Correct Answer,Answer Given,Category,Result
"Why is using a mobile phone while walking through the office considered unsafe?","option2","option1","unsafe_acts_questions","Wrong"
"What should you always do before using scaffolding?","option1","option3","height_questions","Wrong"
"How can Personal Protective Equipment (PPE) help reduce workplace hazards?","option2","option3","perception_questions","Wrong"
"What is the danger of not wearing Personal Protective Equipment (PPE)?","option2","option2","unsafe_acts_questions","Correct"
"What is the risk of using weak or easily guessable passwords?","option1","option3","cyber_questions","Wrong"
"What is the purpose of guardrails when working at height?","option4","option2","height_questions","Wrong"
"What is the main risk of having poor housekeeping in the workplace?","option2","option2","perception_questions","Correct"
"What should you do before working at height?","option2","option2","height_questions","Correct"
"Which of the following can increase the risk of accidents in the workplace?","option2","option2","perception_questions","Correct"
"What should you do if the load is too heavy to lift alone","option2","option2","handling_questions","Correct"
"What should you do if you receive a suspicious email asking for sensitive information?","option4","option2","cyber_questions","Wrong"
"What is the risk of engaging in horseplay at the workplace?","option2","option2","unsafe_acts_questions","Correct"
"What is the safest way to lift a heavy object","option2","option3","handling_questions","Wrong"
"Which of the following is an example of using mechanical aids for manual handling","option2","option2","handling_questions","Correct"
"Why is it unsafe to connect to public Wi-Fi networks?","option2","option2","cyber_questions","Correct"
"What is a Key Benefit of using a lifting aid like a trolley","option1","option2","handling_questions","Wrong"
"Why should you be cautious about clicking on pop-up ads, even if they appear on legitimate websites?","option1","option2","cyber_questions","Wrong"
"What should you do if you notice a spill on the floor at work?","option3","option2","perception_questions","Wrong"
"When using a ladder, what is the safest practice?","option2","option2","height_questions","Correct"
"What should you do if you observe a safety hazard that could harm others?","option2","option2","perception_questions","Correct"
"What should you do if you suspect your work computer has been infected with malware?","option1","option2","cyber_questions","Wrong"
"What is the risk of falling from any height","option2","option2","height_questions","Correct"
"What should you do if you see a coworker eating or drinking around sensitive equipment?","option3","option2","unsafe_acts_questions","Wrong"
"When working on a scaffold, what safety measure is essential?","option2","option3","height_questions","Wrong"
"What should you do before lifting a heavy load","option1","option1","handling_questions","Correct"
"What is a sign that a lifting technique may be unsafe","option3","option1","handling_questions","Wrong"
"What is the best way to identify potential hazards in your workplace?","option2","option2","perception_questions","Correct"
"Which of the following should be avoided when working at height?","option1","option2","height_questions","Wrong"
"What is the risk of taking shortcuts in a dangerous task?","option2","option2","unsafe_acts_questions","Correct"
"What is the potential risk of sharing your work login credentials with a colleague for convenience?","option2","option2","cyber_questions","Correct"
